global_step,mcc,train_loss,eval_loss,acc
2000,0.9718604474160075,0.03836687654256821,0.13187335403737058,0.9774489546535138
2814,0.9813623443731203,0.028508950024843216,0.07741766133800318,0.985047434957453
4000,0.9876162240120074,0.0294964537024498,0.04773736734762331,0.9900686529360795
5628,0.993015849155815,0.0024334362242370844,0.023682251059901554,0.9944011197760448
6000,0.992853027910634,0.1841896027326584,0.026198344282958686,0.9942678131040459
8000,0.9954008109285694,0.004465499427169561,0.014707599575719868,0.9963118487413628
8442,0.9963127443287007,0.0006478118011727929,0.011213954407928437,0.997045035437357
10000,0.9966188679153388,0.0038052182644605637,0.011206039177333784,0.9972894310026883
11256,0.9965365185599717,0.0005695389700122178,0.011248289027341154,0.9972227776666889
12000,0.997255683281471,0.000668854161631316,0.008394077219802542,0.9978004399120176
14000,0.9981703490600071,0.0002785068063531071,0.006045866817636293,0.9985336266080117
14070,0.9980595446429716,0.0003328961320221424,0.006451634939677721,0.9984447554933458
16000,0.9985026732244854,0.0010487132240086794,0.004557902880677986,0.9988002399520096
16884,0.9988907958353118,0.0006593675934709609,0.003611262932588793,0.9991112888533404
18000,0.9988631033682948,0.00039654894499108195,0.0035461269592965525,0.9990890710746739
